,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,8,8,8,8,8,8,8,8,8
Reserves,73,70,95,98,91,103,105,112,123,179,196,198,284
Borrowings +,17,13,25,13,18,40,41,11,42,3,2,15,16
Other Liabilities +,21,12,29,5,12,27,14,15,46,25,17,148,103
Total Liabilities,119,104,158,126,128,177,167,146,218,214,223,369,411
Fixed Assets +,28,28,29,29,49,47,44,45,63,73,70,66,66
CWIP,5,0,1,3,1,0,15,17,0,0,0,3,5
Investments,0,0,0,0,0,0,0,0,8,2,2,2,5
Other Assets +,86,76,128,94,78,130,108,84,147,139,152,298,335
Total Assets,119,104,158,126,128,177,167,146,218,214,223,369,411
