,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,17,17,17,17,21,21,21,29,30
Reserves,351,210,107,106,142,198,152,113,219,205,269,679,720
Borrowings +,316,259,317,311,311,343,474,472,381,442,479,193,151
Other Liabilities +,112,131,202,194,189,177,157,178,188,256,221,310,358
Total Liabilities,797,617,643,628,659,736,801,781,809,925,990,"1,211","1,259"
Fixed Assets +,252,224,203,172,135,96,97,96,107,172,237,288,282
CWIP,5,5,0,0,2,2,1,0,1,1,0,11,42
Investments,15,24,10,0,0,0,0,0,0,36,37,154,349
Other Assets +,525,364,429,456,522,638,702,685,700,716,716,758,586
Total Assets,797,617,643,628,659,736,801,781,809,925,990,"1,211","1,259"
