,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,14,14,14,14,14,15,29,29,29,29,29,29
Reserves,97,132,143,146,148,152,179,182,184,196,211,227,233
Borrowings +,156,188,239,261,250,237,232,259,257,240,270,262,256
Other Liabilities +,130,156,192,186,196,216,214,240,231,264,211,201,214
Total Liabilities,396,490,588,607,609,620,639,711,701,729,720,719,732
Fixed Assets +,90,121,125,143,121,115,142,151,132,120,108,106,98
CWIP,12,11,3,2,14,3,3,2,3,1,1,2,2
Investments,0,0,0,1,1,0,29,29,27,26,26,28,28
Other Assets +,294,358,461,462,473,502,465,529,539,581,586,584,604
Total Assets,396,490,588,607,609,620,639,711,701,729,720,719,732
