,Mar 2011,Mar 2012,Mar 2013
Share Capital +,214,214,214
Reserves,311,342,370
Borrowings +,116,131,161
Other Liabilities +,117,137,139
Total Liabilities,758,824,884
Fixed Assets +,62,68,56
CWIP,6,10,9
Investments,64,96,98
Other Assets +,626,650,721
Total Assets,758,824,884
