,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,7,7,7,7,7,7,7,7,7,7,7
Reserves,55,66,75,80,89,200,223,242,255,262,286,297,297
Borrowings +,24,37,29,33,25,11,9,9,7,3,2,2,6
Other Liabilities +,55,67,71,86,83,72,82,68,54,50,59,56,66
Total Liabilities,141,175,182,205,203,289,321,325,322,322,354,361,375
Fixed Assets +,33,41,47,54,51,47,49,108,109,124,122,121,117
CWIP,0,6,5,3,3,2,2,1,2,0,0,1,5
Investments,1,1,1,1,1,88,150,76,58,51,73,75,62
Other Assets +,107,127,130,148,147,152,120,140,153,147,160,165,191
Total Assets,141,175,182,205,203,289,321,325,322,322,354,361,375
