,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,5,12,12,12,12,12,13,16,16,16,16
Reserves,15,42,54,64,81,101,122,120,74,31,-36
Borrowings +,8,8,29,72,80,87,81,98,108,101,116
Other Liabilities +,4,6,10,22,20,17,47,46,45,48,36
Total Liabilities,31,68,104,170,193,217,263,280,243,196,132
Fixed Assets +,8,9,20,50,69,107,112,121,121,102,85
CWIP,1,1,5,4,6,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,22,57,80,116,118,111,151,159,122,94,47
Total Assets,31,68,104,170,193,217,263,280,243,196,132
