,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,41,41,41,41,41,41,41,51,51,51,51,155,155
Reserves,"1,024","1,114","1,252","1,221","1,434","1,589","1,659","2,008","1,878","1,650","1,580","1,634","1,672"
Borrowings +,544,667,966,"1,401","1,238",784,652,459,228,237,245,286,335
Other Liabilities +,409,449,599,764,896,596,535,481,836,603,697,963,"1,178"
Total Liabilities,"2,018","2,271","2,858","3,427","3,609","3,010","2,886","2,998","2,994","2,542","2,573","3,037","3,340"
Fixed Assets +,208,224,304,323,354,77,100,95,95,98,91,103,106
CWIP,17,8,7,15,8,1,8,9,10,12,15,3,0
Investments,87,175,133,301,222,816,742,926,688,548,558,622,811
Other Assets +,"1,706","1,864","2,414","2,787","3,026","2,116","2,036","1,967","2,201","1,883","1,909","2,308","2,423"
Total Assets,"2,018","2,271","2,858","3,427","3,609","3,010","2,886","2,998","2,994","2,542","2,573","3,037","3,340"
