,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,11,11,12,12,12,12,12,12,17
Reserves,761,783,788,776,745,787,763,757,762,748,713,675,175
Borrowings +,0,0,353,353,320,290,144,138,125,114,126,141,0
Other Liabilities +,39,41,140,119,95,80,61,68,64,94,81,88,38
Total Liabilities,812,836,"1,292","1,260","1,172","1,168",981,974,963,968,931,916,231
Fixed Assets +,190,184,933,910,875,848,837,809,783,731,716,710,179
CWIP,2,2,2,4,2,2,0,2,2,2,4,5,3
Investments,602,562,258,244,196,213,96,78,106,95,95,91,0
Other Assets +,18,89,99,102,99,106,47,86,72,139,116,110,48
Total Assets,812,836,"1,292","1,260","1,172","1,168",981,974,963,968,931,916,231
