,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales +,524,446,706,901,641,226,229
Expenses +,518,440,694,880,623,219,225
Operating Profit,6,6,12,21,17,8,4
OPM %,1%,1%,2%,2%,3%,3%,2%
Other Income +,0,1,0,0,1,0,0
Interest,5,6,10,18,13,3,2
Depreciation,1,1,2,2,5,2,0
Profit before tax,1,1,1,1,1,2,2
Tax %,32%,32%,35%,24%,40%,22%,41%
Net Profit,1,1,1,1,1,2,2
EPS in Rs,6.20,5.50,5.80,7.10,6.90,18.00,22.90
