,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Share Capital +,15,15,15,15,15,15,21,21
Reserves,-11,-6,-5,-4,27,60,119,132
Borrowings +,9,37,35,41,0,9,74,71
Other Liabilities +,56,71,15,45,115,53,128,83
Total Liabilities,70,118,60,97,159,138,341,307
Fixed Assets +,16,15,15,14,15,22,87,83
CWIP,-0,-0,-0,-0,0,-0,-0,-0
Investments,0,0,0,-0,-0,-0,74,74
Other Assets +,54,103,45,83,143,116,181,150
Total Assets,70,118,60,97,159,138,341,307
