,Mar 2015,Mar 2016,TTM
Sales +,352,293,361
Expenses +,309,252,325
Operating Profit,42,41,36
OPM %,12%,14%,10%
Other Income +,6,7,11
Interest,4,3,3
Depreciation,9,9,11
Profit before tax,35,36,33
Tax %,29%,-7%,
Net Profit,25,39,38
EPS in Rs,4.76,7.44,7.24
