,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,20,20,20,20
Reserves,277,269,291,317,361
Borrowings +,47,123,147,116,283
Other Liabilities +,220,383,405,508,544
Total Liabilities,564,796,862,961,"1,208"
Fixed Assets +,200,343,303,263,434
CWIP,25,2,1,4,2
Investments,7,21,26,118,114
Other Assets +,332,430,531,576,657
Total Assets,564,796,862,961,"1,208"
