,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,3,3,3,3,3,3,3,9
Reserves,102,111,116,136,148,164,191,225,266,326,403,524,655
Borrowings +,4,-0,-0,-0,-0,-0,-0,-0,-0,34,633,636,888
Other Liabilities +,69,69,77,96,84,89,125,161,165,166,"1,342","1,554","1,362"
Total Liabilities,178,183,196,235,234,256,318,389,434,530,"2,381","2,717","2,914"
Fixed Assets +,42,52,55,53,46,53,61,71,78,134,"1,043","1,002","1,019"
CWIP,6,4,1,2,5,4,2,7,5,2,4,13,21
Investments,8,8,11,12,12,14,46,51,48,36,1,0,0
Other Assets +,122,119,129,169,171,184,209,260,303,358,"1,332","1,703","1,874"
Total Assets,178,183,196,235,234,256,318,389,434,530,"2,381","2,717","2,914"
