,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,13,13,12
Reserves,-10,78,74,73,63,30,16,7
Borrowings +,66,56,60,56,64,71,72,24
Other Liabilities +,49,52,59,57,40,24,35,87
Total Liabilities,116,198,205,197,179,136,134,129
Fixed Assets +,47,135,129,125,122,118,115,0
CWIP,0,0,0,0,0,0,0,0
Investments,1,5,3,1,0,0,0,0
Other Assets +,69,58,72,71,57,18,19,129
Total Assets,116,198,205,197,179,136,134,129
