,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"2,150","2,139","2,139","2,155",356,357,357,357,441,495,595,495,495
Reserves,"24,182","25,097","25,389","27,039","27,013","23,712","24,216","34,204","32,385","33,952","34,849","35,867","36,082"
Borrowings +,"23,991","25,066","24,801","22,334","24,495","25,264","29,202","17,491","17,222","8,103","6,785","4,182","3,864"
Other Liabilities +,"12,305","12,887","14,117","14,796","14,398","12,396","10,179","8,533","16,434","13,341","11,358","10,623","12,313"
Total Liabilities,"60,818","63,389","64,647","64,525","66,262","61,729","63,954","60,585","66,483","55,890","53,488","51,167","52,754"
Fixed Assets +,"19,256","20,339","19,849","18,835","19,619","3,943","24,640","8,082","6,322","5,187","4,856","4,862","4,808"
CWIP,"10,234","8,993","7,834","5,979","5,901","1,779",153,137,103,89,95,81,89
Investments,996,"1,127","1,334",891,623,"21,310","1,209","20,832","21,005","18,566","19,746","19,779","19,398"
Other Assets +,"30,331","32,931","35,630","38,820","40,119","34,697","37,952","31,533","39,053","32,049","28,791","26,444","28,460"
Total Assets,"60,818","63,389","64,647","64,525","66,262","61,729","63,954","60,585","66,483","55,890","53,488","51,167","52,754"
