,Mar 2021,Mar 2022,TTM
Sales +,829,"1,551","2,125"
Expenses +,567,"1,041","1,416"
Operating Profit,261,509,709
OPM %,32%,33%,33%
Other Income +,2,4,5
Interest,29,44,58
Depreciation,74,86,100
Profit before tax,161,383,557
Tax %,37%,34%,
Net Profit,101,253,376
EPS in Rs,24.48,60.84,90.41
