,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,47,234,234,234,255,255
Reserves,"1,807","2,256","2,593","3,400","5,580","6,571"
Borrowings +,568,729,"1,114",796,543,850
Other Liabilities +,"1,049",834,"1,121",990,"2,047","2,536"
Total Liabilities,"3,471","4,052","5,062","5,420","8,425","10,212"
Fixed Assets +,"1,747","1,774","2,012","1,802","2,455","2,646"
CWIP,91,358,235,506,768,"2,471"
Investments,195,274,144,282,"1,036","1,463"
Other Assets +,"1,437","1,647","2,670","2,829","4,166","3,632"
Total Assets,"3,471","4,052","5,062","5,420","8,425","10,212"
