,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,14,14,14,14,14,14,14,14,14
Reserves,216,237,247,264,249,300,367,426,554,587,730,819,788
Borrowings +,203,290,437,440,433,430,433,431,367,501,618,823,968
Other Liabilities +,139,185,189,217,317,346,379,433,424,522,638,705,604
Total Liabilities,565,719,880,929,"1,012","1,090","1,193","1,304","1,358","1,624","2,000","2,361","2,373"
Fixed Assets +,145,229,319,327,333,358,452,475,465,627,615,832,978
CWIP,31,17,23,7,8,15,8,6,24,48,278,285,191
Investments,0,0,0,0,0,0,0,0,0,1,1,2,2
Other Assets +,388,473,538,594,671,716,733,822,869,948,"1,105","1,243","1,202"
Total Assets,565,719,880,929,"1,012","1,090","1,193","1,304","1,358","1,624","2,000","2,361","2,373"
