,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,4,82,95,95,95,95,95,95,95,95
Reserves,82,106,170,150,399,464,487,510,523,548,587,594
Borrowings +,180,179,223,222,166,111,107,169,200,176,136,110
Other Liabilities +,72,108,115,141,111,112,196,256,214,202,239,307
Total Liabilities,336,396,512,595,771,781,885,"1,030","1,031","1,020","1,057","1,106"
Fixed Assets +,104,199,229,231,191,216,349,490,444,426,360,375
CWIP,52,24,5,16,14,9,9,26,34,9,34,4
Investments,0,0,62,62,76,117,154,100,130,196,194,182
Other Assets +,181,173,216,285,490,440,373,414,423,388,469,545
Total Assets,336,396,512,595,771,781,885,"1,030","1,031","1,020","1,057","1,106"
