,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,13,14,17,17,17,17,17,17,17
Reserves,211,289,396,456,517,563,596,-400,"-1,321"
Borrowings +,149,176,211,241,274,275,413,"1,040","2,028"
Other Liabilities +,662,871,810,896,"1,029","1,311","1,168",970,246
Total Liabilities,"1,035","1,350","1,435","1,610","1,838","2,166","2,195","1,627",969
Fixed Assets +,158,152,309,364,410,415,411,394,389
CWIP,10,94,18,19,2,0,1,0,0
Investments,18,9,4,3,3,2,2,8,8
Other Assets +,848,"1,095","1,104","1,223","1,423","1,748","1,781","1,224",572
Total Assets,"1,035","1,350","1,435","1,610","1,838","2,166","2,195","1,627",969
