,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018
Share Capital +,5,5,5,5,5,5,5,5,5,5,5,5
Reserves,79,127,116,139,120,115,113,111,99,99,90,84
Borrowings +,4,1,22,42,8,18,50,48,46,50,83,13
Other Liabilities +,12,34,21,34,15,4,12,4,6,2,9,2
Total Liabilities,101,168,164,220,148,142,180,169,156,157,186,104
Fixed Assets +,14,17,14,8,5,4,10,7,11,12,25,19
CWIP,1,0,0,0,0,0,6,10,6,8,6,5
Investments,5,26,3,11,10,10,6,7,7,6,1,8
Other Assets +,82,125,147,200,134,129,158,146,132,131,154,72
Total Assets,101,168,164,220,148,142,180,169,156,157,186,104
