,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,10
Reserves,124,147,182,283
Borrowings +,43,62,81,18
Other Liabilities +,50,55,72,83
Total Liabilities,225,273,342,395
Fixed Assets +,138,152,157,168
CWIP,4,2,5,9
Investments,0,0,0,0
Other Assets +,83,119,181,218
Total Assets,225,273,342,395
