,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21,21,21,21,21,21,21,21,21,21
Reserves,531,621,685,780,858,933,"1,215","1,510","1,849","1,975","2,326","2,600","2,846"
Borrowings +,783,893,858,733,874,602,701,700,995,917,710,772,728
Other Liabilities +,421,504,506,629,588,646,591,756,838,636,872,891,875
Total Liabilities,"1,756","2,039","2,069","2,164","2,341","2,202","2,527","2,987","3,703","3,549","3,929","4,284","4,470"
Fixed Assets +,750,849,908,"1,007","1,019",917,"1,031","1,156","1,621","1,910","1,921","1,948","1,972"
CWIP,37,52,34,40,22,54,69,111,96,95,119,117,64
Investments,2,10,9,10,7,38,32,70,68,38,64,77,79
Other Assets +,968,"1,127","1,119","1,106","1,294","1,193","1,395","1,650","1,918","1,506","1,825","2,142","2,355"
Total Assets,"1,756","2,039","2,069","2,164","2,341","2,202","2,527","2,987","3,703","3,549","3,929","4,284","4,470"
