,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,125,125,125,126,127,127
Reserves,664,972,"1,343","1,806","2,326","2,310"
Borrowings +,649,649,350,518,"1,686","1,631"
Other Liabilities +,987,923,934,"1,148","2,310","1,872"
Total Liabilities,"2,425","2,670","2,752","3,597","6,449","5,941"
Fixed Assets +,862,863,909,915,"3,273","3,254"
CWIP,1,1,20,11,13,12
Investments,368,541,541,770,624,622
Other Assets +,"1,195","1,264","1,282","1,902","2,538","2,052"
Total Assets,"2,425","2,670","2,752","3,597","6,449","5,941"
