,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,41,41,41,41,41,41,41
Reserves,428,507,577,605,655,607,632
Borrowings +,40,32,31,357,293,363,300
Other Liabilities +,397,538,619,662,903,"1,019","1,323"
Total Liabilities,907,"1,118","1,268","1,665","1,891","2,030","2,296"
Fixed Assets +,329,339,358,625,654,698,675
CWIP,14,7,24,10,21,15,13
Investments,54,93,27,153,260,229,240
Other Assets +,509,679,859,877,956,"1,088","1,368"
Total Assets,907,"1,118","1,268","1,665","1,891","2,030","2,296"
