,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,32,32,32,32,33,33,33,33,33,33
Reserves,114,93,191,202,218,260,321,399,438,432,430,433
Borrowings +,158,347,312,372,387,253,257,432,458,444,437,436
Other Liabilities +,55,62,74,77,68,201,326,616,594,563,547,538
Total Liabilities,353,529,610,683,705,746,937,"1,479","1,523","1,471","1,447","1,439"
Fixed Assets +,142,29,39,94,114,521,536,"1,001","1,070","1,025",987,"1,036"
CWIP,69,302,432,444,478,93,84,56,59,53,53,1
Investments,0,0,5,4,10,6,14,2,11,0,0,0
Other Assets +,142,198,133,140,104,126,303,419,382,394,407,402
Total Assets,353,529,610,683,705,746,937,"1,479","1,523","1,471","1,447","1,439"
