,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,30,15,23,23,23,23,23,23
Reserves,434,404,352,16,9,-2,7,-45,-156,-152
Borrowings +,940,"1,174","1,941","1,780","1,758","1,755","1,647","1,630","1,628","1,625"
Other Liabilities +,345,323,180,106,86,115,86,79,93,86
Total Liabilities,"1,733","1,916","2,488","1,917","1,876","1,890","1,763","1,687","1,588","1,581"
Fixed Assets +,473,429,266,207,87,63,41,32,35,35
CWIP,1,59,106,99,107,104,85,68,67,67
Investments,36,18,25,13,10,12,25,2,2,2
Other Assets +,"1,223","1,410","2,092","1,598","1,672","1,710","1,612","1,584","1,484","1,478"
Total Assets,"1,733","1,916","2,488","1,917","1,876","1,890","1,763","1,687","1,588","1,581"
