,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,10,11,11,11,11,11,11,11,11,11,11,11
Reserves,59,74,82,84,90,100,108,112,85,88,55,15
Borrowings +,62,70,110,121,123,148,201,239,266,271,253,261
Other Liabilities +,60,65,73,76,97,134,119,100,138,181,169,176
Total Liabilities,191,220,275,291,321,394,439,462,500,550,488,462
Fixed Assets +,37,49,57,67,64,95,106,93,88,90,150,144
CWIP,4,0,3,1,1,1,0,1,4,24,18,24
Investments,1,1,2,2,2,2,2,2,2,2,2,3
Other Assets +,148,169,214,221,255,296,331,366,405,434,318,290
Total Assets,191,220,275,291,321,394,439,462,500,550,488,462
