,Mar 2021,Mar 2022,TTM
Sales +,904,"1,086","1,311"
Expenses +,770,931,"1,110"
Operating Profit,133,155,201
OPM %,15%,14%,15%
Other Income +,3,3,26
Interest,37,34,40
Depreciation,52,56,60
Profit before tax,47,68,125
Tax %,29%,31%,
Net Profit,33,47,92
EPS in Rs,36.78,52.03,102.27
