,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,20,31,28,28,32,32,81,32
Reserves,-283,181,-46,-27,196,209,229,236
Borrowings +,309,74,337,313,360,320,306,332
Other Liabilities +,25,605,32,34,71,64,122,76
Total Liabilities,71,888,350,347,660,624,689,676
Fixed Assets +,35,155,145,144,192,190,161,137
CWIP,0,0,0,0,0,0,0,0
Investments,13,0,0,6,92,0,1,21
Other Assets +,23,733,205,197,376,434,527,517
Total Assets,71,888,350,347,660,624,689,676
