,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,83,95,128,126
Expenses +,63,72,99,93
Operating Profit,20,23,29,32
OPM %,24%,24%,23%,26%
Other Income +,2,1,2,2
Interest,2,2,3,3
Depreciation,7,8,10,13
Profit before tax,12,13,19,18
Tax %,21%,19%,20%,
Net Profit,10,11,15,14
EPS in Rs,6.43,6.84,8.87,8.01
