,Mar 2021,Mar 2022,TTM
Sales +,43,86,129
Expenses +,44,78,113
Operating Profit,-2,8,17
OPM %,-4%,9%,13%
Other Income +,1,1,1
Interest,6,5,5
Depreciation,3,2,3
Profit before tax,-9,1,10
Tax %,26%,28%,
Net Profit,-6,1,7
EPS in Rs,-5.95,0.60,6.75
