,Mar 2019,Mar 2020,Mar 2021
Sales +,886,"1,537","1,885"
Expenses +,639,"1,065","1,294"
Operating Profit,248,472,591
OPM %,28%,31%,31%
Other Income +,0,12,1
Interest,1,34,88
Depreciation,19,29,33
Profit before tax,228,421,471
Tax %,14%,26%,25%
Net Profit,196,313,352
EPS in Rs,997.86,"1,597.37",358.74
