,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012
Share Capital +,30,20,20,20,20,20
Reserves,69,72,76,75,78,83
Borrowings +,276,270,262,256,243,230
Other Liabilities +,47,42,28,31,44,52
Total Liabilities,411,403,385,382,384,385
Fixed Assets +,344,343,339,330,326,319
CWIP,1,2,2,2,1,1
Investments,0,1,1,1,1,1
Other Assets +,66,57,44,49,56,64
Total Assets,411,403,385,382,384,385
