,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21
Reserves,583,667,652
Borrowings +,118,156,369
Other Liabilities +,214,279,458
Total Liabilities,937,"1,122","1,499"
Fixed Assets +,225,231,240
CWIP,1,3,13
Investments,178,168,234
Other Assets +,533,720,"1,013"
Total Assets,937,"1,122","1,499"
