,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8.95,8.95,8.95,8.95,8.95
Reserves,119.61,121.43,122.48,119.71,118.97
Borrowings +,19.09,22.56,11.36,8.29,9.60
Other Liabilities +,17.32,15.54,10.28,7.38,7.58
Total Liabilities,164.97,168.48,153.07,144.33,145.10
Fixed Assets +,42.38,37.91,33.53,30.25,27.85
CWIP,0.87,5.94,3.16,2.93,2.85
Investments,2.24,10.82,9.10,3.52,3.08
Other Assets +,119.48,113.81,107.28,107.63,111.32
Total Assets,164.97,168.48,153.07,144.33,145.10
