,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM
Sales +,"2,611","2,357","2,445","3,042","3,253"
Expenses +,"2,501","2,252","2,293","2,873","3,070"
Operating Profit,110,105,152,169,183
OPM %,4%,4%,6%,6%,6%
Other Income +,6,10,5,5,7
Interest,183,188,186,191,192
Depreciation,76,67,64,66,67
Profit before tax,-143,-140,-93,-84,-70
Tax %,0%,0%,0%,0%,
Net Profit,-143,-139,-93,-84,-70
EPS in Rs,-33.98,-33.12,-22.13,-19.92,-16.61
