,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14
Reserves,192,223,256,281,289,292,290,288
Borrowings +,74,52,30,25,22,52,110,140
Other Liabilities +,48,64,87,95,80,85,86,98
Total Liabilities,328,353,386,415,406,443,500,539
Fixed Assets +,217,197,211,237,230,244,284,277
CWIP,1,3,12,2,8,20,21,40
Investments,2,49,49,49,48,46,46,41
Other Assets +,108,103,115,127,119,133,148,181
Total Assets,328,353,386,415,406,443,500,539
