,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0.19,0.42,0.52,4.64,4.64,10.21,10.21,10.21,10.21
Reserves,0.40,0.66,5.01,13.95,14.24,9.61,3.66,1.58,1.06
Borrowings +,0.36,0.59,0.88,0.40,2.32,-0.00,1.21,0.24,0.32
Other Liabilities +,0.50,1.08,2.13,1.62,3.49,3.91,4.01,6.55,4.65
Total Liabilities,1.45,2.75,8.54,20.61,24.69,23.73,19.09,18.58,16.24
Fixed Assets +,0.70,1.50,2.71,3.46,3.73,3.30,2.23,1.42,1.27
CWIP,0.01,-0.00,0.41,2.16,2.89,0.75,0.07,0.07,-0.00
Investments,-0.00,-0.00,-0.00,-0.00,2.42,0.11,0.23,0.08,0.08
Other Assets +,0.74,1.25,5.42,14.99,15.65,19.57,16.56,17.01,14.89
Total Assets,1.45,2.75,8.54,20.61,24.69,23.73,19.09,18.58,16.24
