,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,27,27,27,27,28,28,28,28,28
Reserves,20,23,29,33,33,33,48,46,56,67,87,110,121
Borrowings +,1,0,1,6,6,11,10,11,18,5,7,2,6
Other Liabilities +,15,15,21,22,19,23,28,30,31,30,22,22,37
Total Liabilities,62,64,78,88,85,94,112,114,132,129,143,162,192
Fixed Assets +,18,17,18,16,36,39,41,44,44,43,49,43,40
CWIP,1,8,14,28,15,12,14,13,15,12,0,0,0
Investments,18,8,23,17,9,9,14,14,22,26,43,72,85
Other Assets +,25,32,23,27,25,34,43,44,51,48,51,47,67
Total Assets,62,64,78,88,85,94,112,114,132,129,143,162,192
