,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,27,27,27,27,28,28,28,28,28,28,28,28
Reserves,"2,010","2,375","2,736","2,956","1,756","3,601","4,464","5,135","5,577","6,042","7,036","9,058","9,545"
Borrowings +,"2,108","2,244","2,765","3,267","3,800","3,988","4,724","4,639","4,449","4,869","4,986","3,962","4,240"
Other Liabilities +,804,"1,087","1,466","2,176","2,726","2,575","2,548","2,793","3,235","3,729","3,524","4,003","4,218"
Total Liabilities,"4,950","5,733","6,994","8,427","8,309","10,193","11,764","12,595","13,289","14,668","15,575","17,052","18,031"
Fixed Assets +,"2,034","2,223","2,822","3,091","2,015","2,594","2,755","3,030","3,670","5,029","5,129","5,887","6,146"
CWIP,178,263,6,5,477,543,708,"1,122","1,399","1,222","1,382","1,010","1,176"
Investments,0,0,0,0,17,17,16,15,30,25,25,50,45
Other Assets +,"2,738","3,248","4,166","5,331","5,799","7,039","8,285","8,429","8,190","8,393","9,040","10,105","10,665"
Total Assets,"4,950","5,733","6,994","8,427","8,309","10,193","11,764","12,595","13,289","14,668","15,575","17,052","18,031"
