,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,352,307,329,428,466,492
Expenses +,313,270,295,373,414,436
Operating Profit,39,38,34,55,52,57
OPM %,11%,12%,10%,13%,11%,12%
Other Income +,4,54,2,-19,7,10
Interest,6,5,3,1,1,1
Depreciation,17,11,9,13,12,12
Profit before tax,20,76,25,22,46,54
Tax %,44%,16%,34%,28%,16%,
Net Profit,11,64,16,16,38,45
EPS in Rs,20.04,99.55,25.28,24.69,17.48,20.69
