,Mar 2021,Mar 2022,Sep 2022
Share Capital +,66,110,133
Reserves,0,90,173
Borrowings +,42,23,13
Other Liabilities +,41,98,92
Total Liabilities,149,321,412
Fixed Assets +,12,28,20
CWIP,0,0,17
Investments,3,84,114
Other Assets +,133,208,261
Total Assets,149,321,412
