,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,115",861,"1,010","1,082","1,081","1,297","1,149","1,149"
Expenses +,"1,031",783,"1,059",997,"1,025","1,232","1,124","1,155"
Operating Profit,84,78,-49,85,57,65,24,-5
OPM %,8%,9%,-5%,8%,5%,5%,2%,-0%
Other Income +,9,37,2,-7,4,4,15,16
Interest,140,123,72,57,52,50,29,27
Depreciation,66,47,58,48,47,46,32,32
Profit before tax,-113,-55,-177,-27,-38,-27,-21,-48
Tax %,-1%,1%,-3%,-17%,-0%,-1%,-6%,
Net Profit,-114,-54,-182,-31,-38,-27,-22,-50
EPS in Rs,-29.88,-14.40,-48.43,-9.38,-8.32,-5.31,-5.43,-12.07
