,Mar 2014,Mar 2015,Mar 2016
Share Capital +,19,19,19
Reserves,28,40,53
Borrowings +,90,92,80
Other Liabilities +,54,101,91
Total Liabilities,192,253,243
Fixed Assets +,17,18,22
CWIP,0,0,0
Investments,0,0,0
Other Assets +,174,234,222
Total Assets,192,253,243
