,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,33,33,33,33,33,33,49,49,49,49,49,83,83
Reserves,534,579,605,646,692,757,798,840,698,575,453,706,960
Borrowings +,276,261,384,357,593,602,764,707,663,533,409,142,109
Other Liabilities +,174,235,238,188,189,256,272,243,336,214,220,248,354
Total Liabilities,"1,016","1,108","1,260","1,224","1,506","1,648","1,883","1,839","1,746","1,372","1,131","1,179","1,506"
Fixed Assets +,61,62,62,60,216,221,231,223,225,223,208,208,208
CWIP,3,1,6,0,0,2,0,0,0,2,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,953,"1,045","1,192","1,164","1,291","1,425","1,652","1,616","1,521","1,146",923,972,"1,297"
Total Assets,"1,016","1,108","1,260","1,224","1,506","1,648","1,883","1,839","1,746","1,372","1,131","1,179","1,506"
