,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,45,45,45,45,45,45,45,45,45,45,45,45
Reserves,254,238,250,236,60,-33,-49,-72,17,33,28,130
Borrowings +,288,358,415,463,542,599,611,606,241,216,213,54
Other Liabilities +,50,87,254,84,49,54,52,66,16,10,11,17
Total Liabilities,638,728,965,828,696,665,659,645,319,304,296,246
Fixed Assets +,119,254,231,233,267,254,235,217,66,60,54,5
CWIP,219,159,182,200,89,82,82,47,0,0,0,0
Investments,0,0,0,0,0,0,0,0,1,1,1,1
Other Assets +,300,315,552,395,340,329,342,380,252,243,242,240
Total Assets,638,728,965,828,696,665,659,645,319,304,296,246
