,Mar 2006,Mar 2007,Mar 2010,Sep 2011
Sales +,36,41,68,176
Expenses +,30,41,71,161
Operating Profit,6,0,-3,15
OPM %,17%,0%,-4%,9%
Other Income +,0,8,14,4
Interest,2,2,5,9
Depreciation,2,3,6,10
Profit before tax,3,3,0,1
Tax %,40%,36%,"1,400%",-223%
Net Profit,2,2,-1,2
EPS in Rs,1.29,1.60,-0.33,0.33
