,Mar 2015,Mar 2016
Share Capital +,11,11
Reserves,57,64
Borrowings +,106,82
Other Liabilities +,53,50
Total Liabilities,226,207
Fixed Assets +,105,77
CWIP,69,80
Investments,1,12
Other Assets +,52,37
Total Assets,226,207
