,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,537,537,537,537,966,970,970
Reserves,655,627,426,"2,016","4,673","5,313","5,948"
Borrowings +,874,981,"1,003",875,"1,101",913,769
Other Liabilities +,"1,080","1,157","1,389",546,"1,803","1,993","1,817"
Total Liabilities,"3,146","3,302","3,355","3,974","8,543","9,189","9,504"
Fixed Assets +,"2,244","2,227","2,192",851,"6,536","7,018","7,023"
CWIP,46,38,87,28,27,151,124
Investments,0,0,1,"2,182",1,1,1
Other Assets +,856,"1,036","1,075",913,"1,980","2,020","2,356"
Total Assets,"3,146","3,302","3,355","3,974","8,543","9,189","9,504"
