,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,363,468,706,963
Expenses +,321,395,566,781
Operating Profit,41,72,140,181
OPM %,11%,15%,20%,19%
Other Income +,0,1,1,1
Interest,16,29,60,79
Depreciation,2,4,13,14
Profit before tax,23,40,68,89
Tax %,26%,46%,34%,32%
Net Profit,17,22,45,60
EPS in Rs,0.35,0.43,0.90,8.59
