,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,28,28,28,28,25,25
Reserves,35,48,91,120,148,169,170
Borrowings +,30,22,19,22,32,93,93
Other Liabilities +,59,62,54,45,58,97,101
Total Liabilities,149,157,188,212,264,384,388
Fixed Assets +,83,88,99,102,108,174,237
CWIP,3,3,1,9,38,63,4
Investments,2,4,3,3,0,0,0
Other Assets +,61,63,86,99,117,146,146
Total Assets,149,157,188,212,264,384,388
