,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,18,14,14,14,14,14,14,14,14,14,14
Reserves,23,31,131,135,136,138,157,175,200,223,286,351,376
Borrowings +,209,220,91,118,134,125,128,105,113,101,74,118,99
Other Liabilities +,86,79,101,111,45,53,56,59,57,63,66,72,77
Total Liabilities,330,343,337,377,329,330,355,353,385,400,440,555,566
Fixed Assets +,189,173,100,142,167,173,174,187,199,219,226,259,276
CWIP,0,0,15,7,0,6,5,0,10,0,0,0,0
Investments,1,1,1,15,13,14,23,11,8,7,4,5,5
Other Assets +,140,169,220,213,149,137,153,155,168,174,209,291,284
Total Assets,330,343,337,377,329,330,355,353,385,400,440,555,566
