,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,10,10,10
Reserves,9,12,20,26,29
Borrowings +,29,22,50,34,84
Other Liabilities +,2,3,10,5,9
Total Liabilities,50,47,90,75,131
Fixed Assets +,15,18,22,26,29
CWIP,0,0,0,1,6
Investments,0,0,0,0,0
Other Assets +,35,29,68,48,96
Total Assets,50,47,90,75,131
