,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0,684,"4,949","5,052"
Expenses +,0,567,"4,108","4,403"
Operating Profit,-0,117,841,649
OPM %,,17%,17%,13%
Other Income +,0,-10,22,36
Interest,0,7,31,20
Depreciation,0,22,123,124
Profit before tax,-0,77,709,541
Tax %,0%,30%,33%,
Net Profit,-0,54,477,361
EPS in Rs,-3.40,3.41,29.93,22.68
