,Mar 2015,Mar 2016
Share Capital +,200,200
Reserves,-785,-864
Borrowings +,104,104
Other Liabilities +,803,859
Total Liabilities,204,182
Fixed Assets +,58,50
CWIP,3,3
Investments,0,0
Other Assets +,142,128
Total Assets,204,182
