,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,5,5,5,6,6,6,6,7,7
Reserves,13,16,28,31,37,36,35,35,34,43,47
Borrowings +,0,3,36,37,35,41,41,42,38,28,32
Other Liabilities +,15,17,34,43,45,43,47,43,46,49,57
Total Liabilities,32,40,103,115,122,125,128,125,124,128,143
Fixed Assets +,6,10,46,53,56,54,55,59,56,51,52
CWIP,1,1,3,2,1,3,2,1,1,0,2
Investments,0,0,0,0,0,0,1,1,0,1,5
Other Assets +,24,29,54,60,65,68,70,64,67,76,83
Total Assets,32,40,103,115,122,125,128,125,124,128,143
