,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,9,9,9,9,10,11,11,12,12,12,13,13
Reserves,32,39,34,39,42,72,94,119,179,174,175,239,434
Borrowings +,65,99,108,116,122,118,115,138,154,290,250,265,214
Other Liabilities +,62,80,94,118,145,141,136,158,170,177,175,217,447
Total Liabilities,168,227,245,282,318,342,357,426,515,652,612,733,"1,107"
Fixed Assets +,54,67,76,79,74,79,79,84,144,269,246,267,260
CWIP,1,9,1,1,3,3,5,24,7,3,5,2,6
Investments,2,1,1,1,1,1,1,1,1,1,1,2,2
Other Assets +,111,150,167,201,241,259,272,317,363,379,359,462,839
Total Assets,168,227,245,282,318,342,357,426,515,652,612,733,"1,107"
