,Mar 2015,Mar 2016,Sep 2016
Share Capital +,5,10,10
Reserves,95,177,187
Borrowings +,31,25,32
Other Liabilities +,50,75,59
Total Liabilities,181,288,289
Fixed Assets +,63,90,94
CWIP,2,5,-0
Investments,31,18,20
Other Assets +,85,176,174
Total Assets,181,288,289
