,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,107,107,107,119,119,119,119,119,119,119,119,119,119
Reserves,"1,470","1,581","1,793","2,055","2,142","2,165","2,248","2,275","1,738","1,795","1,777","1,923","1,819"
Borrowings +,"1,184","1,349","1,786","1,697","1,793","2,172","2,067","2,379","2,895","2,670","2,835","2,627","2,729"
Other Liabilities +,381,355,385,869,"1,109","1,090","1,814","2,011","3,973","3,487","3,697","3,955","4,604"
Total Liabilities,"3,142","3,391","4,070","4,739","5,163","5,546","6,247","6,783","8,725","8,071","8,429","8,623","9,270"
Fixed Assets +,"1,203",71,86,92,112,88,114,125,128,122,111,96,98
CWIP,3,2,1,0,12,0,0,36,42,9,0,3,3
Investments,119,123,144,91,69,525,116,131,130,132,138,82,79
Other Assets +,"1,816","3,195","3,839","4,556","4,970","4,932","6,017","6,491","8,424","7,807","8,179","8,442","9,091"
Total Assets,"3,142","3,391","4,070","4,739","5,163","5,546","6,247","6,783","8,725","8,071","8,429","8,623","9,270"
