,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,245,351,393,460,288,363,636
Expenses +,209,292,344,416,297,346,567
Operating Profit,36,59,49,44,-10,17,69
OPM %,15%,17%,13%,10%,-3%,5%,11%
Other Income +,3,2,3,4,3,3,4
Interest,11,9,12,15,19,15,15
Depreciation,4,4,9,12,13,17,17
Profit before tax,24,47,32,21,-39,-13,41
Tax %,40%,47%,38%,28%,2%,22%,
Net Profit,14,25,20,15,-38,-10,39
EPS in Rs,2.39,4.26,2.82,2.15,-5.44,-1.41,5.60
