,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,3,3,3,3,3,3,3,3
Reserves,128,124,128,113,119,147,156,148,158,172,180,193,207
Borrowings +,59,94,81,86,65,80,27,26,0,19,35,29,32
Other Liabilities +,62,69,66,78,79,67,69,62,78,70,93,94,152
Total Liabilities,252,291,278,281,266,298,256,239,240,263,310,318,394
Fixed Assets +,77,75,74,83,80,65,68,67,68,70,70,70,71
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,6,5,4,11,2,19,3,0,0,29,10,50,48
Other Assets +,169,210,200,186,184,214,185,173,172,164,230,198,275
Total Assets,252,291,278,281,266,298,256,239,240,263,310,318,394
