,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Sales +,202,343,109,172,112,37,2
Expenses +,193,332,98,159,104,36,26
Operating Profit,8,11,10,13,8,1,-23
OPM %,4%,3%,9%,8%,8%,3%,-986%
Other Income +,0,0,2,0,0,2,0
Interest,5,6,7,7,7,2,0
Depreciation,1,1,1,1,1,0,0
Profit before tax,3,4,4,6,1,0,-23
Tax %,14%,31%,26%,31%,32%,3%,0%
Net Profit,3,3,3,4,1,0,-23
EPS in Rs,3.21,2.91,2.96,3.96,0.90,0.35,-20.27
