,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,23,23,23,23,23,23,23,23,23,24,37,37
Reserves,86,97,133,148,164,186,197,219,239,256,298,311
Borrowings +,92,100,97,110,81,98,145,129,97,113,94,109
Other Liabilities +,95,63,54,137,124,178,162,235,230,241,333,293
Total Liabilities,296,283,306,418,392,484,527,605,589,634,762,750
Fixed Assets +,53,48,47,39,26,29,31,52,48,47,62,69
CWIP,0,1,3,3,4,4,0,6,4,4,3,2
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,242,234,256,375,362,451,496,546,536,582,697,679
Total Assets,296,283,306,418,392,484,527,605,589,634,762,750
